path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.H.k2.json,233d429b1721639ccfe20e1af8975df83cc69fcef3cafb5ee1a87199d4276c1d,1712,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.H.k3.json,0e53f52540099917f6842c465f6709d9bce027107b7818a2aacd050149ed0f81,1713,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.H.k4.json,cfb7c77f4ae7a2f8de9f9e6678a2903e223c9c3b2f8fe39e2a87e1e5afb313f2,1709,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.H.k5.json,6bcc2511e1ca9c726649864270bdce29d5b424dac0b2737aff309493edd6a8c9,1712,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.PRE-coupled.json,3afbd924394ac557b7cc08413c43cfb3e1ffb9f1f84d599d25bc8ddfd9a2764b,1594,12,Model C (ED-coupled-consistent retune; rank #1 at 0.6713)
model/parameters/coupled-gfed5/params.PRE-tropfix2.json,fde7fab8cf0a91b742cfd9a5c2b9b0602e57c3ce5eb6957794d038541622b7de,1512,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africa.json,f7279da1b71f96b225ae7d932b594860344c4b5807562ee8da8593e0cf77f322,1660,15,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africa.k1.json,692fa8f18e0abd561ae98e07ea5505d9e263bfa6bff103030a609572074ae017,1776,15,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africa.k2.json,0d5f6b525b4cf8f1d7c39614fe035d9977d661f76169de748d0e5f1929c92741,1775,15,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africa.k3.json,23044448608679d7d1be57d978718244bfc0afe7b8f3dd97567c019dce464af3,1783,15,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africa.k4.json,ff0c0eb21717b08721bef023e0a3b455d9ae5f733309776d609c2e91a238ef9c,1784,15,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
